Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,3.63,3.73,3.82
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,3.53,3.77,3.91
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,3.75,3.88,3.94
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,3.82,3.9,3.96
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,3.59,3.87,3.85
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,3.76,4.15,
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,3.52,3.87,3.97
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,3.74,3.94,3.99
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,3.55,3.8,3.94
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,3.72,3.88,
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,4.02,4.08,4.09
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,3.85,3.89,
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,3.91,3.96,4.04
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,3.91,4.02,4.03
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,3.72,3.79,
