Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,App,9,6,,
A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,Adm,8,5,3,
ABINGTON FRIENDS SCHOOL391915,ABINGTON FRIENDS SCHOOL,Jenkintown,PA,App,5,,,
ABINGTON FRIENDS SCHOOL391915,ABINGTON FRIENDS SCHOOL,Jenkintown,PA,Adm,5,,3,
ACAD MATH SCIENCE ENGINEERING310274,ACAD MATH SCIENCE ENGINEERING,Denville,NJ,App,12,,9,
ACAD MATH SCIENCE ENGINEERING310274,ACAD MATH SCIENCE ENGINEERING,Denville,NJ,Adm,6,,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,App,17,12,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,Adm,16,11,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,Enr,3,,,
ACADEMY AT THE LAKES100922,ACADEMY AT THE LAKES,Land O Lakes,FL,Adm,4,3,,
ACADEMY NEW CHURCH BOYS SCHOOL390475,ACADEMY NEW CHURCH BOYS SCHOOL,Bryn Athyn,PA,Adm,3,,3,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,App,15,8,7,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,Adm,11,6,5,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,Enr,4,,,
ACADEMY OF OUR LADY OF MERCY70415,ACADEMY OF OUR LADY OF MERCY,Milford,CT,App,9,9,,
ACADEMY OF OUR LADY OF MERCY70415,ACADEMY OF OUR LADY OF MERCY,Milford,CT,Adm,7,7,,
ACADEMY OF THE HOLY ANGELS310390,ACADEMY OF THE HOLY ANGELS,Demarest,NJ,App,8,8,,
ACADEMY OF THE HOLY ANGELS310390,ACADEMY OF THE HOLY ANGELS,Demarest,NJ,Adm,4,4,,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,App,49,16,31,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Adm,30,5,24,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Enr,5,,5,
ADELSON SCHOOL THE290229,ADELSON SCHOOL THE,Las Vegas,NV,Adm,3,,,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,App,111,57,52,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Adm,74,38,35,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Enr,14,8,6,
