Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App,27,17,10
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm,14,9,5
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enr,3,,
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,109,54,55
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,32,22,10
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,5,3,
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,69,49,20
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,18,10,8
ACAD FOR ACADEMIC EXCELLENCE50126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App,7,5,
ACAD FOR ACADEMIC EXCELLENCE50126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm,4,3,
ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App,10,5,5
ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Adm,5,,3
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App,7,,
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm,3,,
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,42,21,21
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,13,8,5
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,104,58,45
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,38,22,16
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enr,6,3,3
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App,21,17,
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Adm,11,10,
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Enr,3,,
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,96,57,39
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,26,13,13
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enr,9,6,3
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,81,42,39
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,36,20,16
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,8,,7
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,130,66,64
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,50,29,21
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,14,11,3
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,35,18,16
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,Adm,6,4,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,144,83,61
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,44,28,16
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,5,3,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,29,13,16
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,11,5,6
