Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
21ST CENTURY EXPERIMENTAL SCH694223,21ST CENTURY EXPERIMENTAL SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,3.89,3.94
ABBEY PARK HIGH SCHOOL826403,ABBEY PARK HIGH SCHOOL,n/a ,CANADA,4.06,4.07,
ACS INTERNATIONAL687199,ACS INTERNATIONAL,n/a ,SINGAPORE,3.76,3.75,
ADITYA BIRLA WORLD ACADEMY671666,ADITYA BIRLA WORLD ACADEMY,n/a ,INDIA,3.97,4.16,
ADNOC SCHOOLS697028,ADNOC SCHOOLS,n/a ,UNITED ARAB EMIRATES,3.4,,
AFFILIATED HIGH SC PEKING UNIV694474,AFFILIATED HIGH SC PEKING UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",3.54,3.58,
AFFILIATED HS GUANGZHOU UNIV694492,AFFILIATED HS GUANGZHOU UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",3.81,3.84,3.9
AFFILIATED HS HANGZHOU NORMAL694491,AFFILIATED HS HANGZHOU NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.72,3.87,
AFFILIATED HS S CHINA NORMAL694293,AFFILIATED HS S CHINA NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.76,3.85,3.79
AGA KHAN ACADEMY HYDERABAD671655,AGA KHAN ACADEMY HYDERABAD,n/a ,INDIA,3.73,3.94,
AHMEDABAD INTERNATIONAL SCHOOL671064,AHMEDABAD INTERNATIONAL SCHOOL,n/a ,INDIA,3.55,,
AIGLON COLLEGE796120,AIGLON COLLEGE,n/a ,SWITZERLAND,3.98,3.97,
AITCHISON COLLEGE690220,AITCHISON COLLEGE,n/a ,PAKISTAN,3.47,3.62,
AL-BAYAN BILINGUAL SCHOOL683083,AL-BAYAN BILINGUAL SCHOOL,n/a ,KUWAIT,3.84,3.96,
