Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,Texas,4.13,4.12,
A N MCCALLUM HIGH SCHOOL440300,A N MCCALLUM HIGH SCHOOL,Austin,Texas,3.84,,
ABINGTON FRIENDS SCHOOL391915,ABINGTON FRIENDS SCHOOL,Jenkintown,Pennsylvania,4.04,4.04,
ACAD MATH SCIENCE ENGINEERING310274,ACAD MATH SCIENCE ENGINEERING,Denville,New Jersey,4.08,4.14,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,South Carolina,4.12,4.13,
ACADEMY AEROSPACE/ENGINEERING070471,ACADEMY AEROSPACE/ENGINEERING,Hartford,Connecticut,3.77,,
ACADEMY FOR HEALTH MED SCIENCE310153,ACADEMY FOR HEALTH MED SCIENCE,Bridgewater,New Jersey,4.23,,
ACADEMY INFO TECH ENGINEERING070707,ACADEMY INFO TECH ENGINEERING,Stamford,Connecticut,3.94,,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,Minnesota,3.83,3.95,
ACADEMY OF OUR LADY OF MERCY070415,ACADEMY OF OUR LADY OF MERCY,Milford,Connecticut,3.77,3.85,
ACADEMY OF THE HOLY ANGELS310390,ACADEMY OF THE HOLY ANGELS,Demarest,New Jersey,4.04,,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,Massachusetts,3.74,3.82,3.95
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,Illinois,4.1,4.13,4.18
ADVANCED MATH/SCI ACAD CHARTER221349,ADVANCED MATH/SCI ACAD CHARTER,Marlborough,Massachusetts,3.87,3.91,
ADVANCED TECHNOLOGIES ACADEMY290134,ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,Nevada,3.99,4.07,
AG WEST BLACK HILLS480826,AG WEST BLACK HILLS,Olympia,Washington,4.2,,
AGNES IRWIN SCHOOL395400,AGNES IRWIN SCHOOL,Bryn Mawr,Pennsylvania,3.72,,
AIEA HIGH SCHOOL120001,AIEA HIGH SCHOOL,Aiea,Hawaii,4.06,,
AIR ACADEMY HIGH SCHOOL060266,AIR ACADEMY HIGH SCHOOL,Usaf Academy,Colorado,3.67,,
ALAMO HEIGHTS HIGH SCHOOL446120,ALAMO HEIGHTS HIGH SCHOOL,San Antonio,Texas,4.01,4.06,
ALAN C POPE HIGH SCHOOL111998,ALAN C POPE HIGH SCHOOL,Marietta,Georgia,3.87,,
ALBANY ACADEMIES330035,ALBANY ACADEMIES,Albany,New York,4.09,,
ALBEMARLE HIGH SCHOOL470420,ALBEMARLE HIGH SCHOOL,Charlottesville,Virginia,4.15,,
ALBERT EINSTEIN HIGH SCHOOL210677,ALBERT EINSTEIN HIGH SCHOOL,Kensington,Maryland,4.13,,
ALBUQUERQUE ACADEMY320003,ALBUQUERQUE ACADEMY,Albuquerque,New Mexico,3.92,3.95,
ALBUQUERQUE HIGH SCHOOL320040,ALBUQUERQUE HIGH SCHOOL,Albuquerque,New Mexico,4.04,4.2,
ALEXANDER DAWSON SCHOOL060867,ALEXANDER DAWSON SCHOOL,Lafayette,Colorado,3.93,3.97,
ALEXANDER W DREYFOOS JR SCHOOL101822,ALEXANDER W DREYFOOS JR SCHOOL,West Palm Beach,Florida,4.07,4.08,
ALGONQUIN REGIONAL HIGH SCHOOL221630,ALGONQUIN REGIONAL HIGH SCHOOL,Northborough,Massachusetts,3.86,,
ALL SAINTS EPISCOPAL SCHOOL442498,ALL SAINTS EPISCOPAL SCHOOL,Fort Worth,Texas,3.77,,
ALL SAINTS EPISCOPAL SCHOOL447116,ALL SAINTS EPISCOPAL SCHOOL,Tyler,Texas,4.19,4.19,
ALLEN D NEASE HIGH SCHOOL100729,ALLEN D NEASE HIGH SCHOOL,Ponte Vedra,Florida,3.94,,
ALLEN HIGH SCHOOL440077,ALLEN HIGH SCHOOL,Allen,Texas,4.03,4.05,4.21
ALLENTOWN CENTRAL CATHOLIC HS390025,ALLENTOWN CENTRAL CATHOLIC HS,Allentown,Pennsylvania,3.79,3.95,
ALPHARETTA HIGH SCHOOL110058,ALPHARETTA HIGH SCHOOL,Alpharetta,Georgia,4.12,4.13,
ALTA HIGH SCHOOL450402,ALTA HIGH SCHOOL,Sandy,Utah,3.94,,
ALTAMONT SCHOOL010335,ALTAMONT SCHOOL,Birmingham,Alabama,4.07,,
AMERICAN HERITAGE SCHOOL101422,AMERICAN HERITAGE SCHOOL,Plantation,Florida,3.92,3.99,4
AMERICAN HERITAGE-BOCA/DELRAY100426,AMERICAN HERITAGE-BOCA/DELRAY,Delray Beach,Florida,3.75,3.85,3.83
AMES ACADEMY MATH ENG SCIENCE450360,AMES ACADEMY MATH ENG SCIENCE,Salt Lake City,Utah,3.98,3.98,
AMES HIGH SCHOOL160140,AMES HIGH SCHOOL,Ames,Iowa,4.12,4.17,
AMHERST REGIONAL HIGH SCHOOL220015,AMHERST REGIONAL HIGH SCHOOL,Amherst,Massachusetts,3.83,3.83,
AMITY REGIONAL HIGH SCHOOL070965,AMITY REGIONAL HIGH SCHOOL,Woodbridge,Connecticut,3.95,3.96,
ANACORTES HIGH SCHOOL480025,ANACORTES HIGH SCHOOL,Anacortes,Washington,4.06,,
ANDOVER HIGH SCHOOL220025,ANDOVER HIGH SCHOOL,Andover,Massachusetts,4.12,4.13,
ANDREWS OSBORNE ACADEMY365565,ANDREWS OSBORNE ACADEMY,Willoughby,Ohio,3.78,3.78,
ANN RICHRDS SCHL YOUNG WMN LDR440382,ANN RICHRDS SCHL YOUNG WMN LDR,Austin,Texas,4.06,,
ANNAPOLIS SENIOR HIGH SCHOOL210008,ANNAPOLIS SENIOR HIGH SCHOOL,Annapolis,Maryland,4,4.07,
ANNIE WRIGHT SCHOOL481355,ANNIE WRIGHT SCHOOL,Tacoma,Washington,4.04,4.06,
APEX HIGH SCHOOL340085,APEX HIGH SCHOOL,Apex,North Carolina,4,,
APPLE VALLEY HIGH SCHOOL240084,APPLE VALLEY HIGH SCHOOL,Apple Valley,Minnesota,3.98,3.98,
AQUINAS INSTITUTE ROCHESTER334765,AQUINAS INSTITUTE ROCHESTER,Rochester,New York,3.69,3.48,
ARAPAHOE HIGH SCHOOL060928,ARAPAHOE HIGH SCHOOL,Centennial,Colorado,4.04,4.12,
ARCADIA HIGH SCHOOL030303,ARCADIA HIGH SCHOOL,Phoenix,Arizona,4.07,4.07,
ARCHBISHOP CARROLL HIGH SCHOOL394131,ARCHBISHOP CARROLL HIGH SCHOOL,Radnor,Pennsylvania,3.91,3.91,
ARCHBISHOP MCCARTHY HIGH SCHL100577,ARCHBISHOP MCCARTHY HIGH SCHL,Southwest Ranch,Florida,4.09,,
ARCHMERE ACADEMY080010,ARCHMERE ACADEMY,Claymont,Delaware,3.73,,
ARDREY KELL HIGH SCHOOL340735,ARDREY KELL HIGH SCHOOL,Charlotte,North Carolina,4.09,4.18,
ARIZONA COLLEGE PREP - ERIE030711,ARIZONA COLLEGE PREP - ERIE,Chandler,Arizona,4.19,4.19,
ARIZONA SCHOOL FOR THE ARTS030261,ARIZONA SCHOOL FOR THE ARTS,Phoenix,Arizona,3.72,,
ARIZONA990282,ARIZONA,n/a,Arizona,3.84,,
ARLINGTON HIGH SCHOOL220033,ARLINGTON HIGH SCHOOL,Arlington,Massachusetts,3.83,3.83,
ARLINGTON HIGH SCHOOL334620,ARLINGTON HIGH SCHOOL,Lagrangeville,New York,3.99,,
ARROWHEAD HIGH SCHOOL500853,ARROWHEAD HIGH SCHOOL,Hartland,Wisconsin,4.06,,
ARVADA WEST HIGH SCHOOL060057,ARVADA WEST HIGH SCHOOL,Arvada,Colorado,4.27,4.27,
ASHEVILLE SCHOOL340120,ASHEVILLE SCHOOL,Asheville,North Carolina,3.95,4.02,
ASHLAND HIGH SCHOOL380025,ASHLAND HIGH SCHOOL,Ashland,Oregon,4.08,,
ASHLEY HALL410360,ASHLEY HALL,Charleston,South Carolina,4.01,4.01,
ASPEN HIGH SCHOOL060060,ASPEN HIGH SCHOOL,Aspen,Colorado,4.2,4.18,
ASU PREP DIGITAL030175,ASU PREP DIGITAL,Tempe,Arizona,3.96,,
ATHERTON HIGH SCHOOL181545,ATHERTON HIGH SCHOOL,Louisville,Kentucky,3.98,,
ATHOLTON HIGH SCHOOL210968,ATHOLTON HIGH SCHOOL,Columbia,Maryland,3.98,3.97,
ATLANTA INTERNATIONAL SCHOOL110132,ATLANTA INTERNATIONAL SCHOOL,Atlanta,Georgia,3.84,3.97,
ATLANTIC COMMUNITY HIGH SCHOOL100420,ATLANTIC COMMUNITY HIGH SCHOOL,Delray Beach,Florida,3.97,,
AUBURN HIGH SCHOOL010220,AUBURN HIGH SCHOOL,Auburn,Alabama,4.2,4.21,
AUBURN RIVERSIDE HIGH480046,AUBURN RIVERSIDE HIGH,Auburn,Washington,4.15,4.15,
AURORA CHRISTIAN SCHOOLS140176,AURORA CHRISTIAN SCHOOLS,Aurora,Illinois,3.69,,
AUSTIN PREPARATORY SCHOOL221818,AUSTIN PREPARATORY SCHOOL,Reading,Massachusetts,3.86,3.92,4.1
AVON HIGH SCHOOL070008,AVON HIGH SCHOOL,Avon,Connecticut,3.82,,
AVON OLD FARMS SCHOOL070010,AVON OLD FARMS SCHOOL,Avon,Connecticut,3.94,3.97,
AWTY INTERNATIONAL SCHOOL443332,AWTY INTERNATIONAL SCHOOL,Houston,Texas,4.02,4.1,
BAINBRIDGE HIGH SCHOOL481580,BAINBRIDGE HIGH SCHOOL,Bainbridge Is,Washington,3.98,3.95,
BALDWIN SCHOOL390480,BALDWIN SCHOOL,Bryn Mawr,Pennsylvania,3.95,4,
BALDWIN SENIOR HIGH SCHOOL330295,BALDWIN SENIOR HIGH SCHOOL,Baldwin,New York,3.56,,
BALLARD HIGH SCHOOL481045,BALLARD HIGH SCHOOL,Seattle,Washington,4.08,4.14,
BALTIMORE POLYTECHNIC INST210038,BALTIMORE POLYTECHNIC INST,Baltimore,Maryland,3.95,,
BARD HIGH SCHOOL EARLY COLLEGE330566,BARD HIGH SCHOOL EARLY COLLEGE,New York,New York,3.99,4.03,
BARRINGTON COMMUNITY HIGH SCHL140205,BARRINGTON COMMUNITY HIGH SCHL,Barrington,Illinois,3.88,3.97,3.91
BARRINGTON HIGH SCHOOL400000,BARRINGTON HIGH SCHOOL,Barrington,Rhode Island,4.03,4.2,
BARRON COLLIER HIGH SCHOOL101207,BARRON COLLIER HIGH SCHOOL,Naples,Florida,4.03,4.03,
BARSTOW SCHOOL261605,BARSTOW SCHOOL,Kansas City,Missouri,3.95,4.1,
BARTLETT HIGH SCHOOL140213,BARTLETT HIGH SCHOOL,Bartlett,Illinois,3.89,3.96,
BASHA HIGH SCHOOL030037,BASHA HIGH SCHOOL,Chandler,Arizona,4.17,4.19,
BASIS AHWATUKEE030800,BASIS AHWATUKEE,Phoenix,Arizona,3.94,4.09,
BASIS CHANDLER030072,BASIS CHANDLER,Chandler,Arizona,4.22,4.21,
